null,dealstamp,cpty,"cptyname",cptycountry,cptyparent,"cptyparentname",cptyparentcountry,cptyparentrating,lastparent,"lastparentname",lastparentcountry,lastparentrating,instrumentname,"foldername",foldercountryname,valuedate,maturitydate,guaranteepercent_cpty,currency,nominalvaluecur,nominalvalue,oneoff,guaranteedparentrating,cer,recequivalente,recbruto,"lastparentfname","lastparentfcountryname",lastparentfrating,dispuesto,cer2,collateralagreement
0,MX_CI_S141909000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,null,USD,9554169.780000,9554169.780000,0,null,0.000000,4777084.890000,9554169.780000,"VOLARIS","Mexico",5.0,0.000000,306881.073172,null
0,MX_CI_S140682000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2020-09-09,2023-02-21,null,USD,1110000.000000,1110000.000000,0,null,0.000000,222000.000000,1110000.000000,"VOLARIS","Mexico",5.0,0.000000,8838.116128,null
1,.GFDD9E5,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2025-01-30,100.000000,USD,14201330.870000,14201330.870000,0,5.0,26041.098054,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,MX_CI_S140681000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2020-09-09,2022-10-09,null,USD,9554169.780000,9554169.780000,0,null,0.000000,1050958.675800,9554169.780000,"VOLARIS","Mexico",5.0,0.000000,29691.700399,null
1,.GFDD9E5,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2024-08-30,100.000000,USD,14201330.870000,14201330.870000,0,5.0,84444.215432,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S140676000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-09-09,2023-04-19,100.000000,MXN,22069575.000000,1109989.274625,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2025-01-30,100.000000,USD,14201330.870000,14201330.870000,0,5.0,26041.098054,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,MX_CI_S141910000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,null,USD,61880.000000,61880.000000,0,null,0.000000,30940.000000,61880.000000,"VOLARIS","Mexico",5.0,0.000000,1987.592982,null
1,.GFDD9E5,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,100.000000,USD,14201330.870000,14201330.870000,0,5.0,465655.020610,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S140683000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2022-06-01,2022-10-09,100.000000,MXN,9464070.000000,475995.400650,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S141910000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,100.000000,MXN,1230329.100000,61879.402085,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,MX_CI_S140676000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2020-09-09,2023-04-19,null,USD,1110000.000000,1110000.000000,0,null,0.000000,222000.000000,1110000.000000,"VOLARIS","Mexico",5.0,0.000000,10551.252072,null
1,.GFDD9E5,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,100.000000,USD,14201330.870000,14201330.870000,0,5.0,8878.171058,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,.GFDD9E5,CSIFC1,"CIBANCO SA IBM FIDEICOMISO CIB3853",MX,CSIFC,"CIBANCO SA IBM FIDEICOMISO CIB3853, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,FINANCIACION DE EXPORTACIONES - NO COMPROMETIDO,"ESPANA - GBP",Spain,2022-06-08,2024-08-30,null,USD,2324925.400000,2324925.400000,0,null,0.000000,2324925.400000,2324925.400000,"VOLARIS","Mexico",5.0,2324925.400000,168888.430863,null
1,MX_05_05009917166,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2020-10-29,2022-11-14,100.000000,MXN,80242300.702575,4035786.513836,0,5.0,57265.806275,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,MX_CI_S141909000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,100.000000,MXN,189960780.650850,9554077.462835,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2025-03-31,100.000000,USD,14201330.870000,14201330.870000,0,5.0,26544.933879,null,null,"VOLARIS","Mexico",5.0,null,null,null
